resto_id,name,location,address,category_region,category_type,category_cuisine,category_price,category_wifi,rating,vote,desc,url,date_taken,status
1,Gyu-Kaku Japanese BBQ Riau,Riau,"Jl. Pangeran Kornel No. 7, Riau, Bandung",internasional,resto,jepang,150000,yes,4.9,3614,internasional resto asia jepang buffet wifi nyaman,https://www.zomato.com/bandung/gyu-kaku-japanese-bbq-riau,5/14/2020,FIX
2,Ambrogio Patisserie,Riau,"Jl. Banda No. 26, Riau, Bandung",internasional,cafe,western,75000,no,4.6,519,internasional resto cafe western kopi cemilan nyaman,https://www.zomato.com/bandung/ambrogio-patisserie-riau,5/14/2020,FIX
3,Sydwic,Riau,"Jl. Cilaki No. 63, Riau, Bandung",internasional,cafe,mix,75000,no,4.3,411,internasional cafe western asia kopi teh nyaman,https://www.zomato.com/bandung/sydwic-riau,5/14/2020,FIX
4,Hummingbird Eatery,Riau,"Jl. Progo No. 14, Riau, Bandung",internasional,resto,western,100000,yes,4.5,366,internasional resto bakery western amerika italia wifi,https://www.zomato.com/bandung/hummingbird-eatery-riau,5/14/2020,FIX
5,Sejiwa Coffee,Riau,"Jl. Progo No.15, Riau, Bandung",internasional,cafe,western,50000,yes,4.3,780,internasional cafe western kopi cemilan wifi nyaman,https://www.zomato.com/bandung/sejiwa-coffee-riau,5/14/2020,FIX
6,Glosis,Riau,"Jl. Citarum, No. 12, Riau, Bandung",internasional,resto,western,75000,yes,4.4,404,internasional resto western steak wifi nyaman,https://www.zomato.com/bandung/glosis-riau,5/14/2020,FIX
7,Karnivor,Riau,"Jl. L.L.R.E. Martadinata No. 127, Riau, Bandung",internasional,resto,western,75000,yes,4.2,429,internasional resto western steak grill wifi,https://www.zomato.com/bandung/karnivor-riau,5/14/2020,FIX
8,Please Please Please,Riau,"Jl. Progo No. 37, Riau, Bandung",internasional,resto,mix,150000,yes,4,420,internasional resto cafe western asia kopi cemilan wifi nyaman,https://www.zomato.com/bandung/please-please-please-riau,5/14/2020,FIX
9,Bellamie Boulangerie,Riau,"Jl. Cihapit No. 37, Riau, Bandung",internasional,resto,western,100000,yes,4.6,256,internasional resto bakery western kopi cemilan wifi,https://www.zomato.com/bandung/bellamie-boulangerie-riau,5/14/2020,FIX
10,Two Cents,Riau,"Jl. Cimanuk No. 2, Riau, Bandung",internasional,resto,mix,125000,yes,4.3,310,internasional resto cafe western asia kopi wifi,https://www.zomato.com/bandung/two-cents-riau,5/14/2020,FIX
11,Rumah Makan Alas Daun,Riau,"Jl. Citarum No. 34, Riau, Bandung",lokal,resto,sunda,75000,yes,4.1,259,lokal resto sunda wifi,https://www.zomato.com/bandung/rumah-makan-alas-daun-riau,5/14/2020,FIX
12,Shabu Kojo,Riau,"Jl. Progo No. 20, Riau, Bandung",internasional,resto,jepang,100000,yes,4.1,359,internasional resto asia jepang buffet sushi wifi,https://www.zomato.com/bandung/shabu-kojo-riau,5/14/2020,FIX
13,Shabu Hachi,Riau,"Jl. Cilaki No. 41, Riau, Bandung",internasional,resto,jepang,175000,no,4.5,379,internasional resto asia jepang buffet,https://www.zomato.com/bandung/shabu-hachi-riau,5/14/2020,FIX
14,Bakso Cuangki dan Batagor Serayu,Riau,"Jl. Serayu No. 2, Riau, Bandung",lokal,jajanan,sunda,30000,no,4.3,322,lokal jajanan sunda cemilan bakso batagor,https://www.zomato.com/bandung/bakso-cuangki-dan-batagor-serayu-riau,5/14/2020,FIX
15,Roti Gempol,Riau,"Jl. Gempol Wetan No. 14,?iau, Bandung",lokal,jajanan,,35000,no,4.4,259,lokal jajanan bakery cemilan,https://www.zomato.com/bandung/roti-gempol-1-riau,5/14/2020,FIX
16,Yoghurt Cisangkuy,Riau,"Jl. Cisangkuy No. 85, Riau, Bandung",campur,jajanan,campur,30000,no,4.2,128,internasional lokal resto jajanan cemilan western,https://www.zomato.com/bandung/yoghurt-cisangkuy-riau,5/14/2020,FIX
17,Sweet Belly,Riau,"Jl. Lombok No. 53, Riau, Bandung",campur,resto,campur,40000,no,3.8,45,internasional resto cafe western asia cemilan,https://www.zomato.com/bandung/sweet-belly-riau,5/14/2020,FIX
18,Baker Street,Riau,"Jl. Cimandiri No. 18, Riau, Bandung",internasional,bakery,western,75000,yes,4.1,95,internasional resto bakery western cemilan wifi nyaman,https://www.zomato.com/bandung/baker-street-riau,5/14/2020,FIX
19,Morgy Coffee,Riau,"Jl. Anggrek No. 46, Riau, Bandung",internasional,,,35000,yes,4.2,223,internasional cafe western kopi teh cemilan wifi nyaman,https://www.zomato.com/bandung/morgy-coffee-riau,5/14/2020,FIX
20,Sate Taichan Bengawan,Riau,"Jl. Bengawan No. 62, Riau, Bandung",lokal,,,35000,no,3.9,63,lokal resto jajanan sunda sate,https://www.zomato.com/bandung/sate-taichan-bengawan-riau,5/14/2020,FIX
21,Dreezel Coffee,Riau,"Jl. Cisangkuy No. 56, Riau, Bandung",internasional,cafe,western,25000,no,4,109,internasional cafe western kopi,https://www.zomato.com/bandung/dreezel-coffee-riau,5/14/2020,FIX
22,Abuba Steak,Riau,"Jl. Prabudi Muntur No. 12, Riau, Bandung",internasional,,western,225000,yes,3.6,36,internasional resto western steak wifi,https://www.zomato.com/bandung/abuba-steak-riau,5/14/2020,FIX
23,Nasi Bancakan,Riau,"Jl. Trunojoyo No. 62, Riau, Bandung",lokal,resto,sunda,40000,no,3.9,174,lokal resto sunda buffet,https://www.zomato.com/bandung/nasi-bancakan-riau,5/14/2020,FIX
24,Sajian Sambara,Riau,"Jl. Trunojoyo No. 64, Riau, Bandung",lokal,resto,sunda,50000,no,3.8,61,lokal resto sunda buffet nyaman,https://www.zomato.com/bandung/sajian-sambara-riau,5/14/2020,FIX
25,DAKKEN,Riau,"Jl. RE. Martadinata No. 67, Riau, Bandung",campur,,,90000,no,4.1,195,internasional lokal cafe western asia kopi teh nyaman,https://www.zomato.com/bandung/dakken-riau,5/14/2020,FIX
26,Suis Butcher Steak House Riau,Riau,"Jl. L.L.R.E. Martadinata No. 201, Riau, Bandung",internasional,,western,150000,yes,3.9,123,internasional resto western steak grill wifi,https://www.zomato.com/bandung/suis-butcher-steak-house-riau,5/14/2020,FIX
27,Starbucks Coffee Riau,Riau,"Sherlock Common Space, Jl. Riau No. 217, Riau, Bandung",internasional,cafe,western,80000,yes,3.8,21,internasional cafe western kopi teh cemilan wifi nyaman,https://www.zomato.com/bandung/starbucks-coffee-riau,5/14/2020,FIX
28,Flip Burger,Riau,"Jl. R.E. Martadinata No.81A, Riau, Bandung",internasional,resto,western,60000,no,3.6,66,internasional resto jajanan western amerika burger fast food,https://www.zomato.com/bandung/flip-burger-riau,5/14/2020,FIX
29,Kandang Ayam,Lengkong,"Jl. Karapitan No. 48, Lengkong, Bandung",campur,resto,campur,50000,no,4.1,217,internasional lokal resto jajanan western asia fast food,https://www.zomato.com/bandung/kandang-ayam-lengkong,5/14/2020,FIX
30,Dapoer Pandan Wangi,Lengkong,"Jl Patuha No. 38, Lengkong, Bandung",lokal,resto,sunda,100000,yes,4.5,300,lokal resto sunda wifi nyaman,https://www.zomato.com/bandung/dapoer-pandan-wangi-lengkong,5/14/2020,FIX
31,Atmosphere Resort Cafe,Lengkong,"Jl. Lengkong Besar No. 97, Lengkong, Bandung",campur,resto,campur,125000,yes,4,132,internasional lokal resto western asia buffet wifi nyaman,https://www.zomato.com/bandung/atmosphere-resort-cafe-lengkong,5/14/2020,FIX
32,Marka Cafe,Lengkong,"Jl. Talaga Bodas No. 32, Lengkong, Bandung",campur,cafe,campur,40000,yes,3.9,108,internasional cafe western asia kopi cemilan wifi nyaman,https://www.zomato.com/bandung/marka-cafe-lengkong,5/14/2020,FIX
33,Mie E'ncek,Lengkong,"Jl. Guntur No. 24, Lengkong, Bandung",lokal,resto,,30000,no,4,45,lokal resto jajanan bakmi bakso,https://www.zomato.com/bandung/mie-encek-lengkong,5/14/2020,FIX
34,Bakso Enggal Malang,Lengkong,"Jl. Burangrang No. 12, Lengkong, Bandung",lokal,resto,jawa,25000,no,4,68,lokal resto jajanan jawa bakso,https://www.zomato.com/bandung/bakso-enggal-malang-lengkong,5/14/2020,FIX
35,Martabak San Fransisco,Lengkong,"Jl. Burangrang No. 42, Lengkong, Bandung",lokal,jajanan,,50000,no,3.6,22,lokal jajanan martabak cemilan,https://www.zomato.com/bandung/martabak-san-fransisco-lengkong,5/14/2020,FIX
36,Martabak San Fransisco,Lengkong,"Jl. Karapitan No. 76, Lengkong, Bandung",lokal,jajanan,,50000,no,3.4,9,lokal jajanan martabak cemilan,https://www.zomato.com/bandung/martabak-san-fransisco-1-lengkong,5/14/2020,FIX
37,Rumah Lezat Simplisio,Lengkong,"Jl. Karapitan No. 45 A, Lengkong, Bandung",capmur,resto,campur,75000,no,3.8,31,internasional lokal resto western asia cemilan,https://www.zomato.com/bandung/rumah-lezat-simplisio-lengkong,5/14/2020,FIX
38,GOGI Korean BBQ,Lengkong,"Jl. Burangrang No. 3, Lengkong, Bandung",internasional,resto,korea,90000,yes,3.6,42,internasional resto asia korea grill wifi,https://www.zomato.com/bandung/gogi-korean-bbq-lengkong,5/14/2020,FIX
